datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
12/1/2025 13:00,12/1/2025 8:00,RFC,WEST,AEP,AEPAPT,5655.04,TRUE
12/1/2025 13:00,12/1/2025 8:00,RFC,WEST,AEP,AEPIMP,3946.593,TRUE
12/1/2025 13:00,12/1/2025 8:00,RFC,WEST,AEP,AEPKPT,905.531,TRUE
12/1/2025 13:00,12/1/2025 8:00,RFC,WEST,AEP,AEPOPT,9150.95,TRUE
12/1/2025 13:00,12/1/2025 8:00,RFC,WEST,AP,AP,6639.698,TRUE
12/1/2025 13:00,12/1/2025 8:00,RFC,MIDATL,BC,BC,3923.481,TRUE
12/1/2025 13:00,12/1/2025 8:00,RFC,WEST,CE,CE,11986.841,TRUE
12/1/2025 13:00,12/1/2025 8:00,RFC,WEST,DAY,DAY,2447.579,FALSE
12/1/2025 13:00,12/1/2025 8:00,RFC,WEST,DEOK,DEOK,3454.322,FALSE
12/1/2025 13:00,12/1/2025 8:00,SERC,SOUTH,DOM,DOM,17458.641,TRUE
12/1/2025 13:00,12/1/2025 8:00,RFC,MIDATL,DPL,DPLCO,2366.4,FALSE
12/1/2025 13:00,12/1/2025 8:00,RFC,WEST,DUQ,DUQ,1507.843,FALSE
12/1/2025 13:00,12/1/2025 8:00,RFC,MIDATL,DPL,EASTON,36.847,TRUE
12/1/2025 13:00,12/1/2025 8:00,SERC,WEST,EKPC,EKPC,2532.18,TRUE
12/1/2025 13:00,12/1/2025 8:00,RFC,MIDATL,JC,JC,2487.504,TRUE
12/1/2025 13:00,12/1/2025 8:00,RFC,MIDATL,ME,ME,2034.539,TRUE
12/1/2025 13:00,12/1/2025 8:00,RFC,WEST,ATSI,OE,7966.66,TRUE
12/1/2025 13:00,12/1/2025 8:00,RFC,WEST,OVEC,OVEC,47,TRUE
12/1/2025 13:00,12/1/2025 8:00,RFC,WEST,ATSI,PAPWR,630.007,TRUE
12/1/2025 13:00,12/1/2025 8:00,RFC,MIDATL,PE,PE,4818.628,TRUE
12/1/2025 13:00,12/1/2025 8:00,RFC,MIDATL,PEP,PEPCO,3220.375,FALSE
12/1/2025 13:00,12/1/2025 8:00,RFC,MIDATL,PL,PLCO,5305.519,FALSE
12/1/2025 13:00,12/1/2025 8:00,RFC,MIDATL,PN,PN,2082.73,TRUE
12/1/2025 13:00,12/1/2025 8:00,RFC,MIDATL,PS,PS,4985.475,TRUE
12/1/2025 13:00,12/1/2025 8:00,RFC,MIDATL,RECO,RECO,158.556,FALSE
12/1/2025 13:00,12/1/2025 8:00,RFC,MIDATL,PEP,SMECO,525.759,TRUE
12/1/2025 13:00,12/1/2025 8:00,RFC,MIDATL,PL,UGI,138.262,TRUE
12/1/2025 13:00,12/1/2025 8:00,RFC,MIDATL,AE,VMEU,83.577,TRUE
12/1/2025 13:00,12/1/2025 8:00,RTO,RTO,RTO,RTO,107478.066,FALSE
12/1/2025 14:00,12/1/2025 9:00,RFC,MIDATL,AE,AECO,865.496,FALSE
12/1/2025 14:00,12/1/2025 9:00,RFC,WEST,AEP,AEPAPT,5440.821,TRUE
12/1/2025 14:00,12/1/2025 9:00,RFC,WEST,AEP,AEPIMP,3972.233,TRUE
12/1/2025 14:00,12/1/2025 9:00,RFC,WEST,AEP,AEPKPT,881.944,TRUE
12/1/2025 14:00,12/1/2025 9:00,RFC,WEST,AEP,AEPOPT,9140.925,TRUE
12/1/2025 14:00,12/1/2025 9:00,RFC,WEST,AP,AP,6579.854,TRUE
12/1/2025 14:00,12/1/2025 9:00,RFC,MIDATL,BC,BC,3621.673,TRUE
12/1/2025 14:00,12/1/2025 9:00,RFC,WEST,CE,CE,12071.056,TRUE
12/1/2025 14:00,12/1/2025 9:00,RFC,WEST,DAY,DAY,2447.416,FALSE
12/1/2025 14:00,12/1/2025 9:00,RFC,WEST,DEOK,DEOK,3465.657,FALSE
12/1/2025 14:00,12/1/2025 9:00,SERC,SOUTH,DOM,DOM,16583.302,TRUE
